,price,total_surface,covered_surface,rooms,bathrooms,garages,bedrooms,toilettes,antiquity,zone
0,350000,626,177,5,2,0,3,1,10,Nordelta
1,398000,207,205,4,4,0,3,0,40,VicenteLópez
2,1300000,400,326,5,2,1,3,0,35,CapitalFederal
3,799000,972,308,8,4,1,4,0,15,Tigre
4,585000,633,340,4,2,0,3,1,25,SanIsidro
5,550000,1273,425,8,5,0,6,1,35,SanIsidro
6,440000,1081,231,6,4,0,3,1,1,Villanueva
7,495000,600,260,7,4,0,4,0,3,SantaFe
8,395000,517,217,6,4,0,4,1,0,Nordelta
9,340000,235,235,4,2,1,3,0,40,CapitalFederal
10,510000,220,196,0,4,1,3,0,0,Nordelta
11,2800000,1750,700,10,8,0,5,1,0,Nordelta
12,675000,250,250,5,3,0,3,1,35,CapitalFederal
13,419000,234,201,4,2,1,3,1,0,VicenteLópez
14,2690000,1422,660,9,6,0,4,1,0,Nordelta
15,598000,836,245,5,3,0,3,1,0,Villanueva
16,140000,800,180,5,3,0,4,1,0,GBANorte
17,1590000,893,474,8,7,0,4,0,0,Nordelta
18,439000,476,188,5,3,1,3,1,3,Nordelta
19,1590000,941,388,5,4,0,3,1,11,Nordelta
20,450000,586,220,5,3,1,3,1,0,Nordelta
21,220000,155,145,5,2,0,2,1,22,VicenteLópez
22,880000,410,300,7,4,1,4,1,15,CapitalFederal
23,799000,280,280,0,6,0,5,0,0,Nordelta
24,320000,502,165,5,3,0,3,1,0,Nordelta
25,980000,980,520,0,6,0,4,0,0,Nordelta
26,650000,311,281,0,4,0,3,0,8,Villanueva
27,400000,300,260,0,4,0,3,0,5,SantaFe
28,298000,140,140,4,3,0,2,1,0,VicenteLópez
29,1600000,900,439,8,5,0,4,0,0,Nordelta
30,2000000,2400,400,5,4,0,4,1,0,RincóndeMilberg
31,1590000,957,423,10,0,0,4,0,0,Nordelta
32,120000,200,130,3,0,1,2,0,40,Avellaneda
33,700000,337,270,5,2,1,4,1,35,CapitalFederal
34,280000,100,100,4,0,1,3,1,40,VicenteLópez
35,420000,175,130,6,4,1,3,1,30,CapitalFederal
36,760000,335,319,7,3,1,4,0,25,CapitalFederal
37,1490000,1052,457,8,5,0,4,1,0,Nordelta
38,335000,215,148,4,0,1,2,1,30,SanIsidro
39,498000,300,221,4,4,0,3,0,35,CapitalFederal
40,2700000,670,610,0,6,0,4,0,1,Nordelta
41,225000,310,90,4,2,1,3,0,45,SanIsidro
42,479000,1015,390,5,5,1,4,0,9,PilardelEste
43,369000,465,160,4,2,1,2,0,45,VicenteLópez
44,440000,208,155,5,3,1,3,1,40,CapitalFederal
45,598000,526,272,5,4,1,3,1,0,Nordelta
46,548000,386,260,5,3,0,4,1,30,CapitalFederal
47,620000,890,260,5,3,0,3,1,0,Tigre
48,2660000,2111,750,6,7,0,5,1,0,Nordelta
49,590000,750,320,6,3,0,0,1,10,SanIsidro
50,427000,916,244,5,3,0,3,1,0,Villanueva
51,420000,750,260,5,4,1,4,1,11,Villanueva
52,670000,350,350,0,4,0,3,0,10,Pilar
53,1300000,853,525,7,3,0,4,1,10,Pilar
