price,total_surface,covered_surface,rooms,bathrooms,garages,bedrooms,toilettes,antiquity,zone
USD 485.000,146m²,200m²,5,4,1,3,1,19,",  Villa Urquiza, Capital Federal"
,,,,,,,,,
USD 350.000,626m²,177m²,5,2,,3,1,10,",  Barrancas del Lago, Nordelta"
USD 590.000,190m²,190m²,7,4,,4,1,96,",  Nuñez, Capital Federal"
USD 398.000,207m²,205m²,4,4,,3,,40,",  Olivos, Vicente López"
USD 450.000,900m²,260m²,,3,,3,,,",  El Cantón, Escobar"
USD 1.300.000,400m²,326m²,5,2,1,3,,35,",  Belgrano, Capital Federal"
,,,,,,,,,550ha
,,,,,,,,,
USD 799.000,972m²,308m²,8,4,1,4,,15,",  Santa Bárbara, Tigre"
USD 585.000,633m²,340m²,4,2,,3,1,25,",  San Isidro, San Isidro"
,,,,,,,,,
USD 550.000,1273m²,425m²,8,5,,6,1,35,",  Lomas de San Isidro, San Isidro"
USD 440.000,1081m²,231m²,6,4,,3,1,1,",  San Francisco, Villanueva"
USD 790.000,250m²,250m²,5,2,,3,1,80,",  Caballito, Capital Federal"
USD 550.000,137m²,250m²,6,3,1,4,1,A estrenar,",  Belgrano, Capital Federal"
,,,,,,,,,
USD 220.000,150m²,106m²,4,2,1,3,,,",  Victoria, San Fernando"
USD 495.000,600m²,260m²,7,4,,4,,3,",  Rosario, Santa Fe"
USD 490.000,,240m²,,3,,3,,,",  Los Alisos, Nordelta"
USD 395.000,517m²,217m²,6,4,,4,1,A estrenar,",  Castaños, Nordelta"
USD 690.000,,200m²,,2,,3,,3,",  Las Liebres, Pilar"
USD 340.000,235m²,235m²,4,2,1,3,,40,",  Villa del Parque, Capital Federal"
USD 750.000,509m²,309m²,5,4,,4,,24,
USD 510.000,220m²,196m²,0,4,1,3,,A estrenar,",  Los Lagos, Nordelta"
USD 2.800.000,1750m²,700m²,10,8,,5,1,A estrenar,",  Los Castores, Nordelta"
USD 675.000,250m²,250m²,5,3,,3,1,35,",  Nuñez, Capital Federal"
USD 1.300.000,576m²,576m²,,6,,5,,,",  Ayres del Pilar, Pilar"
,,,,,,,,,
